Player,Position,Team,Games Started,At-Bat,Hit,Double,Triple,Home runs,Runs Batted In,Batting Average,On-Base-Percentage,Slugging Percentage,On Base Plus Slugging,Wins Above Replacement,Salary 2023,Age
Elvis Andrus,SS,CHW,143,535,133,33,0,17,58,0.249,0.303,0.406,0.709,1.26,3000000.00,33
Javier Baez,SS,DET,142,555,132,27,4,17,67,0.238,0.278,0.393,0.671,2.65,22000000.00,29
Jeremy Pena,SS,HOU,132,521,132,20,2,22,63,0.253,0.289,0.426,0.715,4.64,754900.00,24
Ha-seong Kim,SS,SD,142,517,130,30,3,11,59,0.252,0.325,0.385,0.71,5.01,7000000.00,26
J.P. Crawford,SS,SEA,143,518,126,24,3,6,42,0.243,0.339,0.336,0.675,2.72,10000000.00,27
Isiah Kiner-Falefa,SS,NYY,135,483,126,20,0,4,48,0.261,0.314,0.327,0.642,2.95,6000000.00,27
Jose Miranda,SS,MIN,116,444,119,25,0,15,66,0.268,0.325,0.426,0.751,1.05,520429.00,24
Miguel Rojas,SS,MIA,132,471,111,19,2,6,36,0.236,0.283,0.323,0.605,2.63,5000000.00,33
Jorge Mateo,SS,BAL,142,494,109,25,7,13,50,0.221,0.267,0.379,0.646,3.28,2000000.00,27
Tim Anderson,SS,CHW,79,332,100,13,0,6,25,0.301,0.339,0.395,0.734,1.31,12500000.00,29
Luis Garcia,SS,WSH,91,360,99,23,2,7,45,0.275,0.295,0.408,0.704,-0.08,730000.00,22
Brandon Crawford,SS,SF,113,407,94,15,2,9,52,0.231,0.308,0.344,0.652,0.61,16000000.00,35
Willi Castro,SS,DET,94,365,88,19,2,8,31,0.241,0.284,0.37,0.654,1.17,1800000.00,25
Wander Franco,SS,TB,80,314,87,20,3,6,33,0.277,0.329,0.417,0.746,2.57,2000000.00,21
Geraldo Perdomo,SS,ARI,138,431,84,10,2,5,40,0.195,0.285,0.262,0.547,0.55,738600.00,22
Kevin Newman,SS,PIT,70,288,79,18,2,2,24,0.274,0.316,0.372,0.687,1.07,2662000.00,28
Aledmys Diaz,SS,HOU,76,305,74,13,0,12,38,0.243,0.288,0.403,0.691,1.15,6500000.00,31
Taylor Walls,SS,TB,122,407,71,19,2,8,33,0.174,0.27,0.29,0.56,2.27,727600.00,25
CJ Abrams,SS,WSH,78,284,70,12,2,2,21,0.247,0.28,0.324,0.604,-0.01,724200.00,21
Andrew Velazquez,SS,LAA,100,322,63,8,0,9,28,0.196,0.236,0.304,0.54,1.54,410326.00,27
Nick Allen,SS,OAK,92,299,62,13,0,4,19,0.207,0.256,0.291,0.547,1.02,541940.00,23
Rodolfo Castro,SS,PIT,68,253,59,8,4,11,27,0.233,0.299,0.427,0.725,1.13,725000.00,23
David Fletcher,SS,LAA,54,216,55,9,1,2,17,0.255,0.288,0.333,0.621,1.22,6000000.00,28
Garrett Hampson,SS,COL,57,199,42,7,3,2,15,0.211,0.287,0.307,0.594,-0.98,661941.00,27
